2026-02-06T06:47:32.7577962Z | Correlation=07bd3b4131e5417a951939d2a6228a5f | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:32.8021855Z | Correlation=07bd3b4131e5417a951939d2a6228a5f | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=7 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:32.8082321Z | Correlation=5bd2344e594e476e866f0183e5c289b7 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:32.8842337Z | Correlation=5bd2344e594e476e866f0183e5c289b7 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=7 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:37.1042539Z | Correlation=bd6fbc7d7c924d039ebff7265a47af21 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:37.1533438Z | Correlation=bd6fbc7d7c924d039ebff7265a47af21 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:37.1583683Z | Correlation=7e814bd306334ea3956b452576d6a74b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:37.2030673Z | Correlation=7e814bd306334ea3956b452576d6a74b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:37.2080094Z | Correlation=e01e6969c9934d4ea943ad77cbce0b37 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:37.2533693Z | Correlation=e01e6969c9934d4ea943ad77cbce0b37 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:40.7713629Z | Correlation=b1d7b7738829443cb9a923cc973d9e08 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:40.8116911Z | Correlation=b1d7b7738829443cb9a923cc973d9e08 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:40.8162040Z | Correlation=0bd7704073184cf0a0b0c0beff91afeb | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:40.8663637Z | Correlation=0bd7704073184cf0a0b0c0beff91afeb | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:41.5078273Z | Correlation=59b90a2fe7104b49be472f26069eb832 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:41.5687164Z | Correlation=59b90a2fe7104b49be472f26069eb832 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:44.8052784Z | Correlation=fbe88afa6bd54c7f8a115b91e670cb3c | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:44.8462243Z | Correlation=fbe88afa6bd54c7f8a115b91e670cb3c | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:44.8510302Z | Correlation=edb096b45bc54fc4b93f7e9a38c48cef | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:44.9024584Z | Correlation=edb096b45bc54fc4b93f7e9a38c48cef | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:44.9116997Z | Correlation=21ebc127492f4a50baede110cd753e71 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:44.9474101Z | Correlation=21ebc127492f4a50baede110cd753e71 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:49.2814546Z | Correlation=890c9e353dfa4096a2d84a9879e886b8 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:49.3233147Z | Correlation=890c9e353dfa4096a2d84a9879e886b8 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:49.3279353Z | Correlation=18a1d7d1ba98479fa28d874c37b2de56 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:49.3714931Z | Correlation=18a1d7d1ba98479fa28d874c37b2de56 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Kafka message delivered
2026-02-06T06:47:49.3759373Z | Correlation=b4cf69f090d643d48a0f7566f7a68139 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-06T06:47:49.4234175Z | Correlation=b4cf69f090d643d48a0f7566f7a68139 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Kafka message delivered
