2026-02-05T09:11:07.3117197Z | Correlation=d8966adbdc1e41158a37f6ca8043fddc | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=18 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:11:07.3598461Z | Correlation=d8966adbdc1e41158a37f6ca8043fddc | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=18 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:11:26.5801312Z | Correlation=f959ce96727542ed8be415101ff3c23a | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=19 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:11:26.6361730Z | Correlation=f959ce96727542ed8be415101ff3c23a | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=19 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:11:30.6154966Z | Correlation=ea48700b2bc940239898cb3e364490a4 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=20 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:11:30.6754727Z | Correlation=ea48700b2bc940239898cb3e364490a4 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=20 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:11:44.7282153Z | Correlation=44e0c659417045928da248b31a17dd6a | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=21 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:11:44.8145610Z | Correlation=44e0c659417045928da248b31a17dd6a | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=21 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:12:01.8566261Z | Correlation=007efeae19bc4f6a81a6efa79c5a6b8e | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=22 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:12:01.9195559Z | Correlation=007efeae19bc4f6a81a6efa79c5a6b8e | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=22 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:12:22.0472033Z | Correlation=6948dd64297047d4806e09da4191cd7b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=23 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:12:22.0861996Z | Correlation=6948dd64297047d4806e09da4191cd7b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=23 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:12:38.7198443Z | Correlation=f6a21e5e504d4b40b315fa6ee8fd02ad | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=24 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:12:38.7523390Z | Correlation=f6a21e5e504d4b40b315fa6ee8fd02ad | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=24 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:12:50.3186205Z | Correlation=5f259eda313c435ca23260dcb938ac34 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=25 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:12:50.3802391Z | Correlation=5f259eda313c435ca23260dcb938ac34 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=25 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:35:01.0713552Z | Correlation=fc6e9a5a831843caa9cfdc74958d855e | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:35:01.4031773Z | Correlation=fc6e9a5a831843caa9cfdc74958d855e | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:35:01.4971275Z | Correlation=38e1ca07657e45ad838b73a6199750a7 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:35:01.6335551Z | Correlation=38e1ca07657e45ad838b73a6199750a7 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:35:01.6889720Z | Correlation=5d737da7031b4a89b0e697845ac5c014 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:35:01.8838797Z | Correlation=5d737da7031b4a89b0e697845ac5c014 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:35:02.0529300Z | Correlation=6ca719a04f4442af8f668208a2b90ed9 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:35:02.5012333Z | Correlation=6ca719a04f4442af8f668208a2b90ed9 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:35:02.5085109Z | Correlation=a0f0407e3f2b48ebbbb97d804d82bd71 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:35:02.8100653Z | Correlation=a0f0407e3f2b48ebbbb97d804d82bd71 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:35:02.8252283Z | Correlation=4fc0e1163b4d48c98f64dc4a91c975ed | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:35:02.8940760Z | Correlation=4fc0e1163b4d48c98f64dc4a91c975ed | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:35:02.9036810Z | Correlation=f9b23d01203d49d8bdbc0cd19db6afc3 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=6 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:35:03.0254866Z | Correlation=f9b23d01203d49d8bdbc0cd19db6afc3 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=6 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:35:03.0590392Z | Correlation=f1f9376a2965405597df587946354349 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=7 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:35:03.1565735Z | Correlation=f1f9376a2965405597df587946354349 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=7 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:35:03.2007947Z | Correlation=ad9d09bf6265495191892ec38f8916a1 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Telemetry message received
