2026-02-10T11:05:56.3137101Z | Correlation=f2214049b4a74c7c86562031815514bf | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=18 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.3210123Z | Correlation=b55f677d55524e539981d0cdec66cfab | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=19 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.3365374Z | Correlation=b55f677d55524e539981d0cdec66cfab | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=19 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.3447316Z | Correlation=497420d7cb64492bb170be2d6b1e6129 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=20 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.3620702Z | Correlation=497420d7cb64492bb170be2d6b1e6129 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=20 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.3672731Z | Correlation=b5113d7ea1a74a1faeaa3daada8e8731 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=21 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.3822654Z | Correlation=b5113d7ea1a74a1faeaa3daada8e8731 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=21 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.3870927Z | Correlation=9d31088707944ce18a9224677b16942e | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=22 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.4091993Z | Correlation=9d31088707944ce18a9224677b16942e | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=22 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.4253329Z | Correlation=9b3883fd5eb042baa6d302e58df715cd | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=23 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.4523796Z | Correlation=9b3883fd5eb042baa6d302e58df715cd | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=23 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.4612569Z | Correlation=7928a98704a54111b79d9c3bb8b0382b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=24 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.4803319Z | Correlation=7928a98704a54111b79d9c3bb8b0382b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=24 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.5029564Z | Correlation=5e1dec7c58484ce88ae81601d8c6a734 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=25 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.5390373Z | Correlation=5e1dec7c58484ce88ae81601d8c6a734 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=25 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.5454220Z | Correlation=e560cba7ead041f1a7e9c1e8547e84c7 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=26 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.5717140Z | Correlation=e560cba7ead041f1a7e9c1e8547e84c7 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=26 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.5764383Z | Correlation=919f040a7b75432e90c2ffc4a93e72fb | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=27 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.6176630Z | Correlation=919f040a7b75432e90c2ffc4a93e72fb | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=27 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.6258307Z | Correlation=506d23d4f1c845d3aea8c9b8a0a558c0 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=28 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.7373894Z | Correlation=506d23d4f1c845d3aea8c9b8a0a558c0 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=28 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.7720579Z | Correlation=b1c2146f465244aead8ba04756fe0f76 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=29 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.8296511Z | Correlation=b1c2146f465244aead8ba04756fe0f76 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=29 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.8409642Z | Correlation=4853a8df24044574b0d1df39b77ed999 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=30 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.8691794Z | Correlation=4853a8df24044574b0d1df39b77ed999 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=30 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.8742888Z | Correlation=1cb5108738324b70a5ebb3b1d439e88d | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=31 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.9042823Z | Correlation=1cb5108738324b70a5ebb3b1d439e88d | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=31 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.9118649Z | Correlation=98873c70b6bb4b7dac7253a2971cf5e6 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=32 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.9347778Z | Correlation=98873c70b6bb4b7dac7253a2971cf5e6 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=32 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.9439348Z | Correlation=715e098f2b1f4a8098675b8f8d8500bd | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=33 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.9700543Z | Correlation=715e098f2b1f4a8098675b8f8d8500bd | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=33 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.9744035Z | Correlation=6ed1242c95eb4d9489ccc060945f7120 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=34 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.9913107Z | Correlation=6ed1242c95eb4d9489ccc060945f7120 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=34 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.9973113Z | Correlation=be53af9d4ae2400d97c0a0ffadffcd75 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=35 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:57.0194992Z | Correlation=be53af9d4ae2400d97c0a0ffadffcd75 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=35 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:57.0273907Z | Correlation=9b2479c7066642a2968b8da05a19427b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=36 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:57.0514708Z | Correlation=9b2479c7066642a2968b8da05a19427b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=36 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:57.0574735Z | Correlation=ed6c00c16e9b43049978ef8bdea2a099 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=37 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:57.0740899Z | Correlation=ed6c00c16e9b43049978ef8bdea2a099 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=37 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:57.0783708Z | Correlation=5911a60a87d64f5e8042116a823e94bb | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=38 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:57.1050525Z | Correlation=5911a60a87d64f5e8042116a823e94bb | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=38 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:57.1104950Z | Correlation=7101401776a843b0bf3a9e8c639e3a77 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=39 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:57.1308293Z | Correlation=7101401776a843b0bf3a9e8c639e3a77 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=39 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:57.1398884Z | Correlation=4c1cd2b8cb2646a4a7d80a11ad0c58fd | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=40 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:57.1586033Z | Correlation=4c1cd2b8cb2646a4a7d80a11ad0c58fd | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=40 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:57.1686353Z | Correlation=c703c35045e1464bb020b29084cd65fe | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=41 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:57.1906482Z | Correlation=c703c35045e1464bb020b29084cd65fe | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=41 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:57.1980306Z | Correlation=35b968600ce841449cbc600c13635462 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=42 | Status=SUCCESS | Message=Telemetry message received
