2026-02-05T09:09:59.6196340Z | Correlation=f0779c1ad5354617a48c9969e0073084 | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:59.6399547Z | Correlation=f0779c1ad5354617a48c9969e0073084 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:09:59.9199335Z | Correlation=f0779c1ad5354617a48c9969e0073084 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:10:10.1098019Z | Correlation=8b68344e35ab4afba00c4f8fabb9c10e | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:10:10.1175425Z | Correlation=8b68344e35ab4afba00c4f8fabb9c10e | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:10:10.7174251Z | Correlation=8b68344e35ab4afba00c4f8fabb9c10e | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:10:32.4739491Z | Correlation=9904678234e549c193e59cbf59773e7c | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:10:32.4929610Z | Correlation=9904678234e549c193e59cbf59773e7c | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:10:32.7683624Z | Correlation=9904678234e549c193e59cbf59773e7c | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:10:37.0357987Z | Correlation=faccf2d7c2b347449aa8e1b6cb603c45 | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=14 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:10:37.0578099Z | Correlation=faccf2d7c2b347449aa8e1b6cb603c45 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=14 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:10:37.3672682Z | Correlation=faccf2d7c2b347449aa8e1b6cb603c45 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=14 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:10:42.6306079Z | Correlation=e5ea42f9351a4985a5a67636d2a2e435 | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=15 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:10:42.6477504Z | Correlation=e5ea42f9351a4985a5a67636d2a2e435 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=15 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:10:42.9257071Z | Correlation=e5ea42f9351a4985a5a67636d2a2e435 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=15 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:10:47.1593186Z | Correlation=3c61bdb91b1a4230bc16b0538e424248 | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=16 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:10:47.1655985Z | Correlation=3c61bdb91b1a4230bc16b0538e424248 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=16 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:10:47.4429686Z | Correlation=3c61bdb91b1a4230bc16b0538e424248 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=16 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:10:55.7282782Z | Correlation=3eb8325315c0422f82d41e9c522f24fd | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=17 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:10:55.7662489Z | Correlation=3eb8325315c0422f82d41e9c522f24fd | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=17 | Status=SUCCESS | Message=Audit processing started
