2026-02-16T11:13:23.3183879Z | Correlation=ed66c337b04d46899ff19e07a26d75b4 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=871 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:13:27.5816952Z | Correlation=470fae6a7e384802b8b783efa68dbb93 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:13:27.6300097Z | Correlation=470fae6a7e384802b8b783efa68dbb93 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=872 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:13:32.9263568Z | Correlation=89ac8af379d74daa87f6fdc86cc1f378 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:13:32.9791717Z | Correlation=89ac8af379d74daa87f6fdc86cc1f378 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=873 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:13:38.5846499Z | Correlation=ed6c0cb80df44915af2be390efa1a059 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:13:38.6278039Z | Correlation=ed6c0cb80df44915af2be390efa1a059 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=874 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:13:46.1957351Z | Correlation=c49acfe5ee664bcea858e2bd1493f409 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:13:46.2477204Z | Correlation=c49acfe5ee664bcea858e2bd1493f409 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=875 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:13:53.0500394Z | Correlation=d091e6735daa4b8f8ef259e15f9ce5a3 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:13:53.0966987Z | Correlation=d091e6735daa4b8f8ef259e15f9ce5a3 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=876 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:13:56.5445382Z | Correlation=340521de5906434480f6313a13929119 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:13:56.5876048Z | Correlation=340521de5906434480f6313a13929119 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=877 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:14:01.7279026Z | Correlation=c2c6f2118a9a4da6bf37c1b9e71c2ba9 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:14:01.7698442Z | Correlation=c2c6f2118a9a4da6bf37c1b9e71c2ba9 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=878 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:14:07.1028881Z | Correlation=7eb1989c8e184e2abd0addc6fc6df0e2 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
