2026-02-10T10:47:19.2190400Z | Correlation=2a306f1d61524c53af9d1e926d786f3c | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:47:19.2685849Z | Correlation=2a306f1d61524c53af9d1e926d786f3c | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:47:23.3498393Z | Correlation=07ec76482e094c7eb5c3202e919e0607 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:47:23.4172633Z | Correlation=07ec76482e094c7eb5c3202e919e0607 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:47:27.5189162Z | Correlation=c77685f2260f483fa6dc4694a6c892b9 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:47:27.5664093Z | Correlation=c77685f2260f483fa6dc4694a6c892b9 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:47:31.6443582Z | Correlation=668c21197aa04f71a98d564370a5c486 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:47:31.7177885Z | Correlation=668c21197aa04f71a98d564370a5c486 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:47:35.8053865Z | Correlation=ec1d8451c9bb4799a87535c5b18d81bc | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:47:35.8504281Z | Correlation=ec1d8451c9bb4799a87535c5b18d81bc | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:47:40.0198599Z | Correlation=95d368eac1b84460901e6a4a6a0d21ef | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:47:40.0647040Z | Correlation=95d368eac1b84460901e6a4a6a0d21ef | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=14 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:47:44.1382662Z | Correlation=097efc2701154d53b98303d4c25e6132 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:47:44.1795681Z | Correlation=097efc2701154d53b98303d4c25e6132 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=15 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:48:05.2535952Z | Correlation=c2f046e4b4ec4715abe581701d6ba70b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:48:05.9686841Z | Correlation=c2f046e4b4ec4715abe581701d6ba70b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=16 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:48:07.2086642Z | Correlation=c43f2e08-669a-4112-b677-3dd44445dbf6 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.createworkorderasync.1.created | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:48:11.1351024Z | Correlation=61a64c9dd24b40c094e4225e3755e8f7 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:48:11.8432476Z | Correlation=61a64c9dd24b40c094e4225e3755e8f7 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=17 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:48:15.4869848Z | Correlation=c43f2e08-669a-4112-b677-3dd44445dbf6 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.createworkorderasync.1.created | Partition=0 | Offset=0 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:48:16.6698973Z | Correlation=f2214049b4a74c7c86562031815514bf | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:48:16.7077352Z | Correlation=f2214049b4a74c7c86562031815514bf | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=18 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:48:20.7872775Z | Correlation=b55f677d55524e539981d0cdec66cfab | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:48:20.8482024Z | Correlation=b55f677d55524e539981d0cdec66cfab | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=19 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:48:24.8201843Z | Correlation=497420d7cb64492bb170be2d6b1e6129 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
